unit,INTRO TO RUBY DEVELOPMENT
topic,Intro to Programming
reading,Intro to Tic Tac Toe
reading,MINSWAN- Yukihuro Matsumoto
reading,What is a Program?
lesson,Hello World
lesson,Welcome to Tic Tac Toe
topic,Debugging 
reading,Intro to IRB
lesson,Reading Error Messages
topic,Variables
reading,About Variable Assignment
lesson,Variable Assignment Lab
reading,Ruby Data Types
reading,Array Basics
lesson,Tic Tac Toe Board
topic,Methods
reading,Intro to Methods
reading,String Interpolation
reading,Puts and Return
lesson,Display Tic Tac Toe Board Example
reading,Methods and Arguments
lesson,"TDD, Rspec, and Learn"
reading,Default Arguments
lesson,Say Hello
lesson,Interpolation Super Power
lesson,Display Tic Tac Toe Board
topic,Command Line Applicaitions
reading,Intro to CLI Applications
reading,CLI Applications in Ruby
lesson,gets CLI Input
lesson,Greeting CLI Lab
lesson,Tic Tac Toe Move
topic,Logic and Conditions
reading,Truthiness
reading,Booleans
reading,About Ruby Conditionals
lesson,Rspec Fizzbuzz
lesson,Tic Tac Toe Position Taken 
lesson,Valid Tic Tac Toe Move
topic,Loops
reading,Intro to Loops
reading,Loops
reading,While and Until Loops
lesson,While and Until Loops Lab
lesson,Tic Tac Toe Turn
lesson,Tic Tac Toe Play Loop
topic,Iteration
reading,Iteration and Abstraction
reading,Intro to Ruby Iterators
topic,Ruby TTT
lesson,Tic Tac Toe Current Player
reading,Nested Arrays
reading,Boolean Enumerables
reading,Search Enumerables
lesson,Tic Tac Toe Game Status
lesson,Tic Tac Toe in Ruby
topic,Intro to OO
reading,Intro to Object Orientation
reading,Classes and Instances
lesson,Classes and Instances Lab
topic,Instance Methods
reading,Instance Methods
lesson,Instance Methods Lab
reading,Instance Variables
reading,Object Attributes Readme
lesson,Object Attributes Lab
topic,Object Lifecycles
reading,Object Initialization
lesson,Object Initialize Lab
topic,Object Models
lesson,OO Barking Dog
reading,Procedural vs Object Oriented Ruby
lesson,OO Tic Tac Toe
unit,GIT AND GITHUB
topic,Git
reading,Intro to Version Control
reading,Git Repository Basics
reading,Git Repository Basics Quiz
topic,Github  
reading,Git Forks and Clones
reading,Git Remotes and Github
reading,Git Remotes and Github Codealong
topic,Collaboration
reading,Github Pull Requests
reading,Git Collaboration
reading,Git Collaboration Quiz
reading,Git Basics Quiz
unit,HTML AND CSS
topic,Web Fundamentals
reading,How the Web Works
reading,Site Planning
topic,HTML Fundamentals
reading,HTML Fundamentals
reading,Setting Up a New Site
reading,Document Structure
reading,Text Formatting
reading,HTML Lists
reading,HTML Tables
reading,HTML Images
reading,HTML Links
reading,HTML Backing Up Changes
reading,HTML Validation
reading,HTML Fundamentals Quiz
reading,Dev Tools Super Power
lesson,HTML Album Cover
lesson,HTML Riyadh Blog
lesson,HTML Issue Bot 9000
topic,Site Publishing
reading,Site Publishing to FTP
reading,Site Publishing to Github Pages
topic,HTML5
reading,HTML Forms and iFrames
lesson,HTML Map Contact Form Code Along
reading,HTML5 Media
lesson,HTML5 Video Embed Codealong
reading,HTML5 Semantic Elements
lesson,HTML5 Semantic Elements Code Along
reading,HTML5 Quiz
topic,CSS
reading,CSS Fundamentals
lesson,CSS Styling Code-Along
reading,CSS Fundamentals Quiz
lesson,My Little Rainbow
lesson,CSS Kitten Wheelbarrow
lesson,CSS Graffiti Override
lesson,CSS Issue Bot 9000
lesson,Deploy Your Profile Page
topic,Page Layout
reading,Box Model
reading,Layout Types
reading,Overflow
reading,Fluid Height
reading,Display
reading,Float
reading,Clearfix
reading,Centering
reading,Column Structure
reading,Positioning
reading,Z Index
lesson,Codealong Creating Columns
reading,CSS Layout Quiz
lesson,Zetsy
lesson,ZHW Shoes Layout
topic,Box Styles
lesson,Box Style Codealong
topic,Responsive Layout  
reading,Building Responsive Sites
reading,Media Queries
reading,Responsive Media
reading,Responsive Type
reading,Viewport
reading,Responsive Layout Quiz
lesson,Adding Responsive Features Codealong
lesson,Animal Save
topic,Bootstrap Framework
reading,Introduction to Bootstrap
reading,Bootstrap Codealong
reading,Bootstrap Grid System
lesson,Layout Grids Codealong
lesson,Bootstrap Navbar Codealong
reading,Bootstrap JS Plugins
lesson,Bootstrap Image Carousel Codealong
unit,PROCEDURAL RUBY
topic,Variables and Methods
reading,About Variable Assignment
lesson,Variable Assignment Lab
reading,String Interpolation
reading,Defining Methods
reading,Methods and Arguments
lesson,Methods and Arguments Lab
reading,Methods and Default Arguments
lesson,Methods and Default Arguments Lab
reading,Return Values
lesson,Return Values Lab
lesson,Debugging with Pry
reading,Method Scope
lesson,Method Scope Lab
topic,Booleans
reading,Booleans and Truthiness in Ruby
reading,Boolean Operators
reading,Truthiness Code Challenge
topic,Logic and Conditionals 
reading,If Statements
lesson,If Statements Lab
lesson,Ternary Operators and Statement Modifiers
reading,If Statements Quiz
reading,Case Statements
reading,Case Statements Quiz
reading,Logic and Conditionals Quiz
topic,Looping
reading,Intro to Loops
reading,Looping
lesson,Looping Lab
lesson,Times
reading,Looping Quiz
reading,While and Until Loops
lesson,While and Until Loops Lab
lesson,Countdown to Midnight Lab
topic,Arrays
reading,Intro to Arrays
reading,Using Arrays
lesson,Using Arrays Lab
reading,Arrays and Methods
lesson,Arrays and Methods Lab
topic,Iteration
reading,Iteration and Abstraction
reading,Intro to Ruby Iterators
lesson,Square Array Lab
lesson,Badges and Schedules Lab
lesson,Deli Counter Lab
lesson,Oxford Comma Lab
reading,Collect and Return Values
lesson,Reverse Each Word Lab
lesson,Yield and Blocks
lesson,Each Lab
lesson,Return from Yield Statements
lesson,Collect Lab
reading,Boolean Enumerators
reading,Search Enumerators
lesson,My All? Lab
lesson,My Find Lab
lesson,Cartoon Collections Lab
reading,Enumerators Code Challenge
lesson,Prime? Lab
reading,Sorting
lesson,Sorting Lab
topic,Hashes  
lesson,Introduction to Hashes
reading,Using Hashes
lesson,Symbols
